<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.10.27	1.16503	1.16568	1.15742	1.16075	92165	0	0
2017.10.30	1.16054	1.16578	1.15933	1.16505	59230	0	0
2017.10.31	1.16503	1.16612	1.16248	1.16457	57679	0	0
2017.11.01	1.16451	1.16573	1.16063	1.16184	71448	0	0
2017.11.02	1.16177	1.16782	1.16130	1.16559	79755	0	0
2017.11.03	1.16559	1.16906	1.15991	1.16066	69187	0	0
2017.11.06	1.16097	1.16241	1.15802	1.16089	66254	0	0
2017.11.07	1.16091	1.16157	1.15540	1.15854	73309	0	0
2017.11.08	1.15854	1.16110	1.15792	1.15943	59168	0	0
2017.11.09	1.15943	1.16548	1.15856	1.16411	77089	0	0
2017.11.10	1.16411	1.16779	1.16227	1.16637	59113	0	0
2017.11.13	1.16574	1.16752	1.16373	1.16667	50702	0	0
2017.11.14	1.16665	1.18048	1.16614	1.17974	66006	0	0
2017.11.15	1.17974	1.18603	1.17846	1.17903	86935	0	0
2017.11.16	1.17903	1.18008	1.17566	1.17695	71840	0	0
2017.11.17	1.17695	1.18217	1.17653	1.17884	71379	0	0
2017.11.20	1.17852	1.18085	1.17221	1.17330	81311	0	0
2017.11.21	1.17330	1.17577	1.17129	1.17378	65234	0	0
2017.11.22	1.17378	1.18269	1.17321	1.18218	63677	0	0
2017.11.23	1.18218	1.18560	1.18132	1.18486	48643	0	0
2017.11.24	1.18486	1.19443	1.18368	1.19287	63203	0	0
2017.11.27	1.19265	1.19611	1.18955	1.18978	66198	0	0
2017.11.28	1.18970	1.19199	1.18268	1.18372	83602	0	0
2017.11.29	1.18365	1.18827	1.18168	1.18468	76114	0	0
2017.11.30	1.18468	1.19315	1.18089	1.19035	83311	0	0
2017.12.01	1.19031	1.19403	1.18508	1.18919	112210	0	0
2017.12.04	1.18618	1.18786	1.18291	1.18656	83207	0	0
2017.12.05	1.18655	1.18766	1.18007	1.18261	83768	0	0
2017.12.06	1.18247	1.18480	1.17806	1.17948	76974	0	0
2017.12.07	1.17948	1.18147	1.17719	1.17719	70650	0	0
2017.12.08	1.17719	1.17765	1.17302	1.17731	79807	0	0
2017.12.11	1.17650	1.18118	1.17634	1.17685	61944	0	0
2017.12.12	1.17685	1.17927	1.17175	1.17410	63642	0	0
2017.12.13	1.17410	1.18315	1.17294	1.18257	79958	0	0
2017.12.14	1.18257	1.18625	1.17707	1.17773	97269	0	0
2017.12.15	1.17774	1.18124	1.17482	1.17505	78757	0	0
2017.12.18	1.17435	1.18344	1.17375	1.17812	97584	0	1
2017.12.19	1.17812	1.18486	1.17766	1.18385	106375	0	1
2017.12.20	1.18382	1.19017	1.18289	1.18702	103982	0	1
2017.12.21	1.18702	1.18896	1.18493	1.18724	94619	0	0
2017.12.22	1.18722	1.18754	1.18169	1.18630	103267	0	1
2017.12.26	1.18704	1.18785	1.18466	1.18579	30123	0	1
2017.12.27	1.18579	1.19103	1.18551	1.18865	85184	0	1
2017.12.28	1.18865	1.19589	1.18864	1.19422	79872	0	1
2017.12.29	1.19422	1.20255	1.19362	1.20045	85664	0	1
2018.01.02	1.20088	1.20812	1.20007	1.20579	92779	0	1
2018.01.03	1.20579	1.20661	1.20010	1.20142	100595	0	1
2018.01.04	1.20142	1.20889	1.20043	1.20678	109715	0	1
2018.01.05	1.20678	1.20828	1.20206	1.20298	113628	0	1
2018.01.08	1.20268	1.20523	1.19556	1.19669	88921	0	1
2018.01.09	1.19669	1.19756	1.19155	1.19364	100787	0	1
2018.01.10	1.19364	1.20181	1.19232	1.19474	151752	0	1
2018.01.11	1.19474	1.20588	1.19293	1.20314	155197	0	1
2018.01.12	1.20314	1.22185	1.20308	1.22000	189447	0	1
2018.01.15	1.21932	1.22965	1.21875	1.22626	155933	0	1
2018.01.16	1.22626	1.22834	1.21951	1.22595	164847	0	1
